Дата операции,Категория,Сумма операции
2019-03-19,Супермаркеты,-15.82
2019-03-19,Супермаркеты,-44.88
2019-03-18,Супермаркеты,-67.4
2019-03-18,Супермаркеты,-78.0
2019-03-17,Супермаркеты,-687.41
2019-03-17,Супермаркеты,-105.8
2019-03-16,Супермаркеты,-68.62
2019-03-16,Супермаркеты,-47.0
2019-03-16,Супермаркеты,-105.0
2019-03-15,Супермаркеты,-78.5
2019-03-12,Супермаркеты,-29.9
2019-03-10,Супермаркеты,-129.7
2019-03-10,Супермаркеты,-329.9
2019-03-10,Супермаркеты,-275.4
2019-03-09,Супермаркеты,-67.9
2019-03-09,Супермаркеты,-169.0
2019-03-09,Супермаркеты,-1018.02
2019-03-09,Супермаркеты,-78.0
2019-03-08,Супермаркеты,-134.0
2019-03-06,Супермаркеты,-488.91
2019-03-05,Супермаркеты,-100.0
2019-03-05,Супермаркеты,-78.0
2019-03-03,Супермаркеты,-1340.73
2019-03-03,Супермаркеты,-161.7
2019-03-03,Супермаркеты,-135.8
2019-03-02,Супермаркеты,-102.73
2019-03-02,Супермаркеты,-159.8
2019-03-02,Супермаркеты,-78.0
2019-02-28,Супермаркеты,-21.69
2019-02-28,Супермаркеты,-123.88
2019-02-28,Супермаркеты,-172.72
2019-02-27,Супермаркеты,-31.8
2019-02-26,Супермаркеты,-78.0
2019-02-25,Супермаркеты,-56.9
2019-02-25,Супермаркеты,-99.0
2019-02-25,Супермаркеты,-87.0
2019-02-25,Супермаркеты,-256.02
2019-02-24,Супермаркеты,-326.3
2019-02-23,Супермаркеты,-126.8
2019-02-22,Супермаркеты,-719.03
2019-02-22,Супермаркеты,-29.9
2019-02-19,Супермаркеты,-199.0
2019-02-19,Супермаркеты,-65.0
2019-02-18,Супермаркеты,-149.8
2019-02-17,Супермаркеты,-87.2
2019-02-17,Супермаркеты,-114.68
2019-02-16,Супермаркеты,-251.7
2019-02-16,Супермаркеты,-200.1
2019-02-16,Супермаркеты,-78.0
2019-02-15,Супермаркеты,-354.1
2019-02-14,Супермаркеты,-237.87
2019-02-13,Супермаркеты,-70.93
2019-02-13,Супермаркеты,-9.0
2019-02-13,Супермаркеты,-1190.0
2019-02-13,Супермаркеты,-59.8
2019-02-12,Супермаркеты,-383.8
2019-02-12,Супермаркеты,-118.0
2019-02-12,Супермаркеты,-42.9
2019-02-11,Супермаркеты,-129.9
2019-02-11,Супермаркеты,-113.0
2019-02-11,Супермаркеты,-432.1
2019-02-10,Супермаркеты,-90.0
2019-02-09,Супермаркеты,-50.0
2019-02-09,Супермаркеты,-29.99
2019-02-08,Супермаркеты,-160.1
2019-02-08,Супермаркеты,-87.0
2019-02-08,Супермаркеты,-140.8
2019-02-07,Супермаркеты,-92.8
2019-02-07,Супермаркеты,-241.71
2019-02-07,Супермаркеты,-568.4
2019-02-06,Супермаркеты,-123.2
